winemaker;latitude;longitude
Vie di Romans;45.90834;13.453796
Serafini & Vidotto;45.83126;12.139587
Vie di Romans;45.90834;13.453796
Panizzi;43.46745;11.02247
Vie di Romans;45.90834;13.453796
Vie di Romans;45.90834;13.453796
Castello di Ama;43.441765;11.389819
Elena Walch;46.338905;11.238573
Antinori;43.612602;11.191609
Zidarich;45.762093;13.695213
Bollini;45.47297;9.148571
Morgante;41.87194;12.56738
Tramin;46.345413;11.251244
Duca di Salaparuta;38.01058;13.543288
Piovene Porto Godi;45.386772;11.515159
Montresor;45.463013;10.966605
Ronchi di Cialla;46.079536;13.480963
Villa Raiano;40.874325;14.832333
Livon;45.984417;13.430922
Antinori;43.612602;11.191609
Kellerei . Cantina KALTERN;46.418293;11.252306
Marco de Bartoli;37.734543;12.538919
Livio Felluga;45.971054;13.457232
Schiopetto;45.948498;13.508745
Melini;43.567116;10.9807
Ca' Bolani;45.826008;13.314254
Collavini;45.98191;13.406175
Baglio di Pianetto;39.287537;16.193895
San Marzano;40.46109;17.495722
Umani Ronchi;41.03124;14.494156
Feudi di San Gregorio;40.91706;14.8868
Pratello;45.50874;10.494845
Manincor;44.8773;8.185049
La Tunella;46.04077;13.437695
Tiefenbrunner;46.23745;11.211603
Giacosa Fratelli;44.720646;8.11538
COS;45.10429;7.68163
Michele Satta;43.19314;10.541554
Paternoster;40.9294;15.673826
Cantine del Notaio;40.946583;15.672674
Falkenstein;46.433666;11.16933
Badia di Morrona;43.53623;10.651364
Colterenzio (Schreckbichl);46.46437;11.28719
Emidio Pepe;42.81976;13.77903
La Tunella;46.04077;13.437695
A Mano;40.79518;17.121876
Tenuta Sant'Antonio;45.45245;11.120593
Villa Raiano;40.874325;14.832333
Terlan (Terlano);46.530525;11.251588
Cantina Bolzano / Kellerei Bozen;46.0;11.0
Spadafora;38.149384;13.334904
Velenosi;42.85332;13.626477
Colterenzio (Schreckbichl);46.46437;11.28719
Zuani;45.96252;13.544617
Tenuta Ammiraglia;42.656734;11.280555
Farnese;42.352707;14.401362
Barone Montalto;37.769844;12.83998
Abbazia di Novacella (Stiftskellerei Neustift);46.741283;11.649688
Feudi di San Gregorio;40.91706;14.8868
J. Hofstätter;46.341366;11.239585
Tiefenbrunner;46.23745;11.211603
Tenuta Ulisse;42.27561;14.318346
Terlan (Terlano);46.530525;11.251588
Elvio Cogno;44.599476;7.939478
Quintodecimo;41.043236;14.996742
Cantine del Notaio;40.946583;15.672674
Foradori;46.21543;11.092973
Lis Neris;45.929287;13.527129
Ronco dei Tassi;44.89691;7.330598
Danzante;43.768394;11.248622
Nals Margreid;46.53919;11.205166
Colterenzio (Schreckbichl);46.46437;11.28719
Claudio Mariotto;44.88389;8.886749
Erste+Neue;46.41924;11.251994
Cusumano;43.316048;13.275079
Belguardo;42.71294;11.187783
La Tunella;46.04077;13.437695
Erste+Neue;46.41924;11.251994
Casata Monfort;46.138237;11.113181
Donnafugata;37.788242;12.448781
Capichera;41.039806;9.383783
Les Crêtes;45.704735;7.245721
Azienda Santa Barbara - Stefano Antonucci;43.584034;13.025755
Cantina d'Isera;45.88477;11.012864
Cave Mont Blanc de Morgex et la Salle;44.8773;8.185049
Marco de Bartoli;37.734543;12.538919
Sartarelli;43.515625;13.077995
Comm. G.B. Burlotto;44.7554;8.03134
Ca' Lojera;45.446888;10.668956
Vie di Romans;45.90834;13.453796
St. Michael-Eppan;46.452656;11.268223
Baglio di Pianetto;39.287537;16.193895
Tenuta di Tavignano;42.719883;11.189456
