idname,price,wine_type,legg_strutt,secco_dolce,piatto_acid,notes,Clusters
Dolée - 2008.0 - Vie di Romans,36.0,Friulano,64.4267,26.4338,51.6989,albero da frutta/agrume/legno,4
Ciampagnis Chardonnay - 2020.0 - Vie di Romans,21.15,Chardonnay,62.6386,25.1236,51.0969,legno/albero da frutta/agrume,4
Vermentino - 2019.0 - Fattoria Sardi,12.0,Vermentino,39.3159,24.748,66.3812,albero da frutta/agrume/Erbaceo,2
Vernaccia di San Gimignano Blanco - 2018.0 - Panizzi,9.9,Vernaccia di San Gimignano,43.9714,18.418,66.2523,albero da frutta/agrume/Erbaceo,12
Pandataria - 2018.0 - Candidaterra,27.9,Falanghina,50.3706,22.4478,42.7289,Erbaceo/nota tropicale,5
Ciampagnis Chardonnay - 2018.0 - Vie di Romans,25.8,Chardonnay,62.6386,25.1236,51.0969,legno/albero da frutta/agrume,4
Dessimis Pinot Grigio - 2008.0 - Vie di Romans,38.0,Pinot Grigio,47.5969,17.7489,39.1353,albero da frutta/agrume/legno,4
Al Poggio Chardonnay di Toscana - 2020.0 - Castello di Ama,16.5,Chardonnay,44.2521,22.8106,64.2036,albero da frutta/legno/agrume,4
Beyond the Clouds - 2019.0 - Elena Walch,50.0,Chardonnay,64.8376,25.8293,47.7675,legno/albero da frutta/nota tropicale,6
Castello della Sala Cervaro della Sala - 2020.0 - Antinori,47.9,Miscela,49.591,26.5966,63.8714,legno/albero da frutta/Erbaceo,22
Prulke - 2018.0 - Zidarich,33.3,Miscela,63.558,21.446,51.8373,agrume/Erbaceo/albero da frutta,7
Grisara Bianco - 2020.0 - Ceraudo,14.48,Pecorino,67.1768,2.05213,37.0775,agrume/albero da frutta/Erbaceo,12
Satrico Lazio Bianco - 2020.0 - Casale del Giglio,7.9,Miscela,45.485,23.4353,64.1449,albero da frutta/agrume/Erbaceo,7
Gewürztraminer Stoass - 2019.0 - Pfitscher,15.0,Gewürztraminer,61.8874,34.3567,25.8787,nota tropicale/Erbaceo/agrume,5
Pinot Grigio - 2020.0 - Bollini,10.5,Pinot Grigio,41.8454,10.2281,43.23,albero da frutta/agrume/Erbaceo,8
Bianco di Morgante - 2019.0 - Morgante,9.35,Nero d'Avola,62.9616,3.49208,35.3828,agrume/albero da frutta/Erbaceo,13
Pinot Bianco Moriz - 2019.0 - Tramin,15.1,Weissburgunder,40.7121,3.83833,60.907,albero da frutta/Erbaceo/agrume,0
Sentiero del Vento Vermentino - 2020.0 - Duca di Salaparuta,12.0,Vermentino,53.5889,16.7097,44.0389,agrume/Erbaceo/albero da frutta,2
Vigneto Fostine Sauvignon - 2015.0 - Piovene Porto Godi,10.1,Sauvignon Blanc,65.7193,17.5676,55.5523,agrume/Erbaceo/albero da frutta,14
Talis Pinot Bianco - 2019.0 - Venica & Venica,20.5,Pinot Blanc,42.7885,0.0,60.0355,albero da frutta/agrume/vegetale,1
Soave Classico - 2020.0 - Montresor,7.9,Garganega,29.2441,0.0,58.8401,albero da frutta/agrume/Erbaceo,17
Picolit di Cialla - 2011.0 - Ronchi di Cialla,59.2,Picolit,68.9699,53.9394,44.9053,Erbaceo/legno/agrume,18
Alimata Fiano di Avellino - 2017.0 - Villa Raiano,16.5,Fiano,62.261,1.82082,37.667,albero da frutta/Erbaceo/agrume,16
Mandítocai Friulano - 2018.0 - Livon,23.5,Tocai Friulano,69.2129,28.9054,47.5919,albero da frutta/legno/Erbaceo,22
Castello della Sala Conte della Vipera - 2021.0 - Antinori,21.5,Chardonnay,44.1382,21.639,64.3347,agrume/albero da frutta/Erbaceo,12
Gewürztraminer Campaner - 2020.0 - Kellerei . Cantina KALTERN,15.0,Gewürztraminer,69.242,33.4856,33.1007,nota tropicale/Erbaceo/albero da frutta,5
Integer Grillo - 2019.0 - Marco de Bartoli,22.95,Grillo,64.9303,11.6239,38.7989,agrume/Erbaceo/albero da frutta,13
Illivio - 2018.0 - Livio Felluga,28.0,Miscela,59.7321,29.0735,44.6743,legno/albero da frutta/Erbaceo,22
Collio Friulano - 2018.0 - Schiopetto,17.0,Friulano,60.6646,20.8459,50.6834,albero da frutta/Erbaceo/agrume,21
Malvasia - 2019.0 - Kante,18.9,Malvasia,59.2333,20.6054,49.93,Erbaceo/albero da frutta/agrume,20
Stella Flora - 2015.0 - Maria Pia Castelli,44.9,Miscela,54.4514,23.7494,58.7877,agrume/Erbaceo/legno,18
Le Grillaie Vernaccia di San Gimignano - 2019.0 - Melini,10.55,Vernaccia di San Gimignano,39.2147,27.6127,66.1611,albero da frutta/agrume/Erbaceo,12
