,Name,R,G,B,Clusters
0,(MozArt Wine) Brunello di Montalcino 2016'.png,132.48922658575043,128.21442787818006,113.57514920143856,3
1,110 e Lode Merlot 2015'.png,105.45661193116342,88.44184529960917,76.28465114293962,4
2,123 Brunello di Montalcino Riserva 2015'.png,130.73700823630867,121.49415889318009,102.66693722908072,3
3,16 Primitivo Gioia del Colle 2017'.png,124.95743076797086,105.66726194964022,109.92798168357679,3
4,17 Primitivo Gioia del Colle 2017'.png,118.77453060879219,105.4302402769412,102.0942013114486,1
5,1921 Primitivo di Manduria Riserva 2013'.png,149.42068632547597,125.63976989256278,125.49969686434895,0
6,25 anni Montefalco Sagrantino 2015'.png,145.52027622860945,137.9414846034476,121.96005070617989,0
7,28 Clones Poggio Ai Chiari Sangiovese Toscana 2010'.png,182.53432279985046,174.11862910096667,180.6506601150408,6
8,5 Stelle Sfursat 2017'.png,152.0370744259439,139.1961206355982,130.40920212929763,0
9,50 & 50 2017'.png,159.5186738820041,125.98391625311362,115.7769968868172,7
10,60 Sessantanni Limited Edition Old Vines Primitivo di Manduria 2017'.png,100.650941376621,101.25342463344141,96.95599001608926,1
11,60 Sessantanni Old Vines Primitivo di Manduria 2017'.png,109.39763204582265,106.92633495411394,104.36548351920585,1
12,62 Anniversario Primitivo di Manduria Riserva 2017'.png,133.3050779289855,127.79469265612865,119.659900282163,3
13,8 Limited Edition N.V.'.png,135.9304143708111,119.59885331509544,91.83970063237847,7
14,A50 Amarone della Valpolicella 2012'.png,127.52283746088021,129.5125555983402,111.44817393412522,3
15,AD 1441 Brunello di Montalcino 2016'.png,111.40483965193047,103.6201533014344,89.9844667446507,1
16,Acinatico Amarone della Valpolicella Classico 2018'.png,126.94811353230801,119.75907186563215,114.1434769635713,3
17,Ad Hoc Primitivo di Manduria 2021'.png,130.99484952626815,137.42269093543374,127.1531189654843,0
18,Aglianico Castel del Monte Bocca di Lupo 2014'.png,153.17056141287117,147.57633651911001,139.63125563497883,2
19,Ai Suma Barbera d'Asti 2016'.png,134.09313323003025,120.77680064119322,121.44939901761198,3
