Name,R,G,B,Clusters
'Askos' Verdeca 2021'.png,158.46406161502176,151.67191113535486,112.87985978507432,3
003 Pecorino 2019'.png,178.38147885921342,162.3742929160894,141.79128322996445,2
010 Lugana 2020'.png,140.60729458432297,134.5731453582508,130.23647846352665,6
12 e Mezzo Malvasia del Salento 2020'.png,194.68751231391394,188.96926817269915,172.6325236891766,4
40 Quarantanni Riserva Bianco 2018'.png,149.2901908565089,147.93383931501148,144.27931370085926,6
448 s.l.m. Bianco 2020'.png,153.41476524793313,136.4990986108283,117.70443208874224,0
496 Bio 2019'.png,141.7605981705632,147.38803615484204,152.22612938127003,6
90+10 Il Rivale 2019'.png,151.7250868389423,136.01562047006846,122.69458209027935,0
A Demûa Bianco 2016'.png,164.17510976596503,146.01129421800113,135.2752749026961,2
A'Puddara Etna Bianco 2019'.png,129.03263001211414,129.03076088631718,114.74678003940573,1
AU Chardonnay 2016'.png,157.42409794420237,153.30116441812237,141.8284694306325,2
AV01 Catarratto 2018'.png,160.86961061851724,119.18221012167112,110.01415647318271,7
Abbazia di Rosazzo 2018'.png,158.51019548190945,150.9769117727814,119.19586144851752,0
Acquerello Grillo - Sauvignon Blanc 2020'.png,185.06809770298494,188.56838397003582,164.1979312595663,4
Adènzia Bianco 2019'.png,128.67359200952,127.29584911371238,119.07718292801164,1
Adorè 2018'.png,148.19815113556578,145.69005456790796,141.77757227431988,6
Afix Riesling 2018'.png,127.55852174820872,141.0919461021853,117.57163857018593,0
Ageno 2019'.png,137.39302209240847,139.6134145123993,142.1504415452026,6
Agno Casto Manzoni Bianco 2017'.png,151.8848639751898,139.21631563750904,114.18701591325785,0
Aichberg Weiss 2017'.png,113.38068937385928,100.74780633804247,91.66047441662695,5
Aimè Gewürztraminer 2020'.png,123.24106330194684,112.63038996240314,106.7476244980111,1
Al Poggio Chardonnay di Toscana 2020'.png,169.36558670752544,143.46247716020093,115.60758506901784,3
Alastro 2016'.png,147.85963763294188,145.21945109515445,107.85324675059935,0
Alastro 2020'.png,142.32945763194604,143.34386190241298,119.76499865136218,0
Albablu Vermentino 2020'.png,86.15621684351862,86.54928958436953,86.2064907945922,5
Albaco Orvieto Classico Superiore 2018'.png,148.75803235871015,147.81366810308054,129.35341809518744,0
Albente 2020'.png,105.72123286974053,110.11420469364435,110.26903198190298,1
Alberta Ferretti Chardonnay 2018'.png,105.57429993291034,87.27245965044605,65.63644027893437,5
Alborina Gavi 2018'.png,151.18658471970815,139.36033993868588,129.6754995281129,0
Alimata Fiano di Avellino 2017'.png,153.08805495259895,136.9897287052974,128.0991001008216,0
Alizée Etna Bianco 2018'.png,112.91296318360422,127.11245600092948,131.17086596661383,6
Allemanda 2020'.png,147.047491328082,153.6313770035275,117.81495960141206,0
Alma Terra 2020'.png,136.85791974189303,127.07280605706198,102.99758230552945,7
Alta Falanghina 2018'.png,152.79753809993926,149.0017914809813,127.13425786117742,0
Alta Mora Etna Bianco 2019'.png,135.34960705163593,121.79322111545214,107.66045789215457,1
Altavilla della Corte Grillo 2020'.png,144.40586940325602,131.51735611937278,118.23223843235148,0
Alte Reben Sylvaner 2019'.png,168.99996505613953,152.44907501339898,140.0565689986908,2
Alteni di Brassica Langhe 2019'.png,156.16292397214332,162.69657793140038,138.62925588863015,2
Altkirch Chardonnay 2019'.png,149.17828735215735,146.66709317523288,114.43827205195043,0
Amarone della Valpolicella Classico 2009'.png,132.58898363995843,114.96165057253747,99.95209482468348,1
