Podernuovo a Palazzone;Sotirio 2011;4,3;75 Voti;Italia·Toscana·Podernuovo a Palazzone·Vino rosso·Merlot;32,90;[('Leggero-Strutturato', '56.456%'), ('Morbido-Tannico', '45.1866%'), ('Secco-Dolce', '3.85%'), ('Piatto-Acidulo', '43.0611%')];Manzo / Agnello / Vitello;[('legno', 20), ('Erbaceo', 14), ('bacche nere', 4)]
Gaja;Pieve Santa Restituta Sugarille Brunello di Montalcino 2016;4,3;27 Voti;Italia·Brunello di Montalcino·Gaja·Vino rosso·Sangiovese;179,00;[('Leggero-Strutturato', '52.7566%'), ('Morbido-Tannico', '58.8874%'), ('Secco-Dolce', '10.6068%'), ('Piatto-Acidulo', '65.2911%')];Manzo / Agnello / Cacciagione (cervo, camoscio);[('legno', 185), ('Erbaceo', 183), ('frutti rossi', 112)]
Le Macchiole;Paleo 2017;4,5;301 Voti;Italia·Toscana·Le Macchiole·Vino rosso·Cabernet Franc;109,00;[('Leggero-Strutturato', '58.253%'), ('Morbido-Tannico', '49.4875%'), ('Secco-Dolce', '13.6423%'), ('Piatto-Acidulo', '47.0577%')];Manzo / Agnello / Vitello;[('legno', 650), ('bacche nere', 471), ('Erbaceo', 368)]
Tenuta San Guido;Sassicaia 2000;4,6;2174 Voti;Italia·Bolgheri Sassicaia·Tenuta San Guido·Vino rosso·Miscela;569,25;[('Leggero-Strutturato', '62.0472%'), ('Morbido-Tannico', '64.0325%'), ('Secco-Dolce', '10.295%'), ('Piatto-Acidulo', '54.5197%')];Manzo / Pasta / Agnello;[('legno', 3368), ('bacche nere', 3033), ('Erbaceo', 2552)]
Elio Altare;Cerretta Barolo Riserva (Vigna Bricco) 2013;4,4;153 Voti;Italia·Barolo·Elio Altare·Vino rosso·Nebbiolo;161,00;[('Leggero-Strutturato', '63.0586%'), ('Morbido-Tannico', '82.5967%'), ('Secco-Dolce', '7.25151%'), ('Piatto-Acidulo', '83.4252%')];Manzo / Pasta / Agnello;[('Erbaceo', 118), ('legno', 111), ('frutti rossi', 71)]
Ciacci Piccolomini d'Aragona;Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro 2012;4,5;214 Voti;Italia·Brunello di Montalcino·Ciacci Piccolomini d'Aragona·Vino rosso·Sangiovese;152,00;[('Leggero-Strutturato', '55.7712%'), ('Morbido-Tannico', '57.8731%'), ('Secco-Dolce', '9.01008%'), ('Piatto-Acidulo', '66.3502%')];Manzo / Agnello / Cacciagione (cervo, camoscio);[('legno', 108), ('Erbaceo', 77), ('frutti rossi', 76)]
Canalicchio di Sopra;Brunello di Montalcino 2015;4,4;398 Voti;Italia·Brunello di Montalcino·Canalicchio di Sopra·Vino rosso·Sangiovese;52,00;[('Leggero-Strutturato', '48.0214%'), ('Morbido-Tannico', '57.6512%'), ('Secco-Dolce', '9.06536%'), ('Piatto-Acidulo', '63.5755%')];Manzo / Agnello / Cacciagione (cervo, camoscio);[('Erbaceo', 383), ('legno', 310), ('frutti rossi', 232)]
Dezi;Regina del Bosco 2016;4,3;55 Voti;Italia·Marche·Dezi·Vino rosso·Montepulciano;35,00;[('Leggero-Strutturato', '62.4048%'), ('Morbido-Tannico', '42.2134%'), ('Secco-Dolce', '4.10945%'), ('Piatto-Acidulo', '45.5179%')];Manzo / Pasta / Vitello;[('legno', 8), ('spezie', 7), ('bacche nere', 6)]
Ernesto Ruffo;Campogadis Valpolicella Superiore 2014;4,4;113 Voti;Italia·Valpolicella·Ernesto Ruffo·Vino rosso·Miscela;49,90;[('Leggero-Strutturato', '61.6379%'), ('Morbido-Tannico', '38.534%'), ('Secco-Dolce', '19.9126%'), ('Piatto-Acidulo', '47.6099%')];Manzo / Pasta / Vitello;[('legno', 19), ('bacche nere', 11), ('Erbaceo', 8)]
Podere Forte;Guardiavigna 2016;4,6;53 Voti;Italia·Toscana·Podere Forte·Vino rosso·Miscela;174,99;[('Leggero-Strutturato', '54.1716%'), ('Morbido-Tannico', '37.335%'), ('Secco-Dolce', '18.6908%'), ('Piatto-Acidulo', '42.6526%')];Manzo / Agnello / Vitello;[('bacche nere', 88), ('legno', 80), ('Erbaceo', 38)]
