company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;legg_strutt;secco_dolce;piatto_acid;notes
Podernuovo a Palazzone;Sotirio ;4.3;75;32.9;Manzo / Agnello / Vitello;Italia;Toscana;Merlot;2011;56.456;45.1866;3.85;legno/Erbaceo/bacche nere
Gaja;Pieve Santa Restituta Sugarille Brunello di Montalcino ;4.3;27;179.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2016;52.7566;58.8874;10.6068;legno/Erbaceo/frutti rossi
Le Macchiole;Paleo ;4.5;301;109.0;Manzo / Agnello / Vitello;Italia;Toscana;Cabernet Franc;2017;58.253;49.4875;13.6423;legno/bacche nere/Erbaceo
Tenuta San Guido;Sassicaia ;4.6;2174;569.25;Manzo / Pasta / Agnello;Italia;Bolgheri Sassicaia;Miscela;2000;62.0472;64.0325;10.295;legno/bacche nere/Erbaceo
Elio Altare;Cerretta Barolo Riserva (Vigna Bricco) ;4.4;153;161.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2013;63.0586;82.5967;7.25151;Erbaceo/legno/frutti rossi
Ciacci Piccolomini d'Aragona;Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro ;4.5;214;152.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2012;55.7712;57.8731;9.01008;legno/Erbaceo/frutti rossi
Canalicchio di Sopra;Brunello di Montalcino ;4.4;398;52.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2015;48.0214;57.6512;9.06536;Erbaceo/legno/frutti rossi
Dezi;Regina del Bosco ;4.3;55;35.0;Manzo / Pasta / Vitello;Italia;Marche;Montepulciano;2016;62.4048;42.2134;4.10945;legno/spezie/bacche nere
Ernesto Ruffo;Campogadis Valpolicella Superiore ;4.4;113;49.9;Manzo / Pasta / Vitello;Italia;Valpolicella;Miscela;2014;61.6379;38.534;19.9126;legno/bacche nere/Erbaceo
Podere Forte;Guardiavigna ;4.6;53;174.99;Manzo / Agnello / Vitello;Italia;Toscana;Miscela;2016;54.1716;37.335;18.6908;bacche nere/legno/Erbaceo
Castellare;Toscana I Sodi di San Niccolo ;4.4;731;107.0;Manzo / Agnello / Vitello;Italia;Toscana;Miscela;2015;51.1927;43.5393;12.5045;legno/Erbaceo/bacche nere
Argiano;Brunello di Montalcino ;4.3;81;49.9;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2017;47.9957;55.5321;6.78046;legno/Erbaceo/frutti rossi
Gaja;Conteisa Langhe ;4.5;104;240.0;Manzo / Pasta / Agnello;Italia;Langhe;Miscela;2005;62.9444;41.1103;19.5164;legno/Erbaceo/frutti rossi
Antonio Caggiano;Vigna Macchia dei Goti Taurasi ;4.3;50;30.56;Manzo / Pasta / Agnello;Italia;Taurasi;Aglianico;2017;82.1836;52.0473;22.954;legno/Erbaceo/bacche nere
Isole e Olena;Syrah Toscana Collezione Privata ;4.4;63;59.9;Manzo / Agnello / Vitello;Italia;Toscana;Miscela;2017;53.061;44.1576;11.2408;bacche nere/legno/Erbaceo
Campo Alla Sughera;Campo Alla Sughera ;4.3;96;53.5;Manzo / Agnello / Vitello;Italia;Toscana;Miscela;2009;55.1716;40.3241;15.0812;legno/bacche nere/frutti rossi
La Braccesca;Maggiarino Vino Nobile di Montepulciano ;4.4;83;51.99;Manzo / Cacciagione (cervo, camoscio) / Pollame;Italia;Vino Nobile di Montepulciano;Sangiovese;2016;56.5451;52.7622;0.0;bacche nere/legno/Erbaceo
Castello dei Rampolla;d'Alceo ;4.4;48;239.0;Manzo / Agnello / Vitello;Italia;Toscana;Cabernet Sauvignon;1996;52.3442;45.1392;17.679;legno/bacche nere/Erbaceo
Rignana;Villa di Rignana Chianti Classico Gran Selezione ;4.3;64;30.9;Manzo / Vitello / Pollame;Italia;Chianti Classico;Sangiovese;2013;59.4362;53.6294;0.227838;legno/frutti rossi/Erbaceo
Speri;Vigneto Monte Sant'Urbano Amarone della Valpolicella Classico ;4.4;208;43.99;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Amarone della Valpolicella Classico;Miscela;2017;82.7784;25.4627;46.2074;legno/bacche nere/Erbaceo
Tommasi;Amarone della Valpolicella Classico ;4.3;2435;84.9;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Amarone della Valpolicella Classico;Miscela;2009;85.0;23.1936;48.9382;legno/bacche nere/frutti rossi
Argiano;Brunello di Montalcino ;4.4;1202;41.8;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2016;47.9957;55.5321;6.78046;legno/Erbaceo/frutti rossi
Tresoro;Rosso ;4.5;50;250.0;Manzo / Agnello / Vitello;Italia;Toscana;Miscela;2017;55.2852;48.7667;9.55001;bacche nere/spezie
Castello dei Rampolla;d'Alceo ;4.5;67;159.0;Manzo / Agnello / Vitello;Italia;Toscana;Cabernet Sauvignon;1997;52.3442;45.1392;17.679;legno/bacche nere/Erbaceo
Argiano;Brunello di Montalcino Riserva ;4.4;146;154.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2010;46.626;52.6703;12.9123;legno/Erbaceo/bacche nere
Quintarelli Giuseppe;Ca’ del Merlo Rosso Veneto ;4.5;29;78.9;Manzo / Pasta / Agnello;Italia;Veneto;Miscela;2014;62.9385;35.7326;21.2652;legno/Erbaceo/frutti rossi
Coali;Il Carlin Valpolicella Ripasso Clássico Superiore ;4.5;40;23.0;Manzo / Pasta / Vitello;Italia;Valpolicella Ripasso;Miscela;2016;50.575;32.6528;24.7139;bacche nere/frutti rossi/frutta secca
Tenuta di Valgiano;Colline Lucchesi ;4.3;227;89.0;Manzo / Agnello / Vitello;Italia;Colline Lucchesi;Miscela;2015;53.9684;43.8208;8.83926;frutti rossi/Erbaceo/spezie
Antinori;Tignanello ;4.7;4617;157.0;Manzo / Agnello / Vitello;Italia;Toscana;Miscela;2018;53.2249;42.266;10.8437;legno/bacche nere/Erbaceo
Ca' del Bosco;Pinéro ;4.3;61;61.8;Manzo / Pasta / Agnello;Italia;Sebino;Pinot Nero;2015;55.2054;36.8031;17.16;frutti rossi/Erbaceo/legno
La Spinetta;Vürsù Barbaresco Starderi ;4.4;106;119.0;Manzo / Pasta / Agnello;Italia;Barbaresco;Nebbiolo;2015;65.0111;74.2322;8.59382;Erbaceo/legno/frutti rossi
Col d'Orcia;Poggio Al Vento Brunello di Montalcino Riserva ;4.4;380;99.9;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2012;50.7686;58.1887;7.83904;legno/Erbaceo/frutti rossi
Castello del Terriccio;Lupicaia ;4.4;396;125.0;Manzo / Agnello / Vitello;Italia;Toscana;Barbera;2006;57.0766;45.0999;12.7574;legno/bacche nere/Erbaceo
Quintarelli Giuseppe;Amarone della Valpolicella Classico ;4.7;494;598.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Amarone della Valpolicella Classico;Miscela;1998;82.7095;25.6376;50.3312;legno/bacche nere/Erbaceo
Le Chiuse;Brunello di Montalcino ;4.5;179;269.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2016;51.5324;56.9267;7.63059;legno/Erbaceo/frutti rossi
Vie di Romans;Pinot Nero ;4.4;57;58.0;Manzo / Vitello / Cacciagione (cervo, camoscio);Italia;Friuli Isonzo;Pinot Nero;2016;44.4643;23.2;20.8929;frutti rossi/Erbaceo
Biserno;Il Pino di Biserno ;4.4;1578;51.0;Manzo / Agnello / Vitello;Italia;Toscana;Miscela;2017;56.0101;43.2952;16.7706;legno/bacche nere/Erbaceo
G.D. Vajra;Barolo Coste di Rose ;4.3;152;59.2;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2016;59.2052;72.0166;6.92507;frutti rossi/Erbaceo/legno
Tenuta di Trinoro;Toscana Rosso ;4.5;64;283.0;Manzo / Agnello / Vitello;Italia;Toscana;Miscela;2014;55.5117;44.3288;20.0236;bacche nere/legno/Erbaceo
Ornellaia;Bolgheri Superiore ;4.7;1269;410.0;Manzo / Pasta / Agnello;Italia;Bolgheri Superiore;Miscela;2005;64.5938;64.8667;12.543;legno/bacche nere/Erbaceo
