Vie di Romans;Dolée 2008;4,2;31 Voti;Italia·Friuli Isonzo·Vie di Romans·Vino bianco·Friulano;€36;[('Leggero-Strutturato', '64.4267%'), ('Secco-Dolce', '26.4338%'), ('Piatto-Acidulo', '51.6989%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('albero da frutta', 31), ('agrume', 30), ('legno', 27)]
Serafini & Vidotto;Phigaia El Blanco 2018;3,8;28 Voti;Italia·delle Venezie·Serafini & Vidotto·Vino bianco·Miscela;€15,90;[];na / na / na;[]
Vie di Romans;Ciampagnis Chardonnay 2020;4,1;38 Voti;Italia·Friuli Isonzo·Vie di Romans·Vino bianco·Chardonnay;€21,15;[('Leggero-Strutturato', '62.6386%'), ('Secco-Dolce', '25.1236%'), ('Piatto-Acidulo', '51.0969%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('legno', 89), ('albero da frutta', 72), ('agrume', 59)]
Fattoria Sardi;Vermentino 2019;3,9;46 Voti;Italia·Colline Lucchesi·Fattoria Sardi·Vino bianco·Vermentino;€12;[('Leggero-Strutturato', '39.3159%'), ('Secco-Dolce', '24.748%'), ('Piatto-Acidulo', '66.3812%')];Pasta / Vegetariano / Antipasti e spuntini;[('albero da frutta', 18), ('agrume', 5), ('Erbaceo', 3)]
Panizzi;Vernaccia di San Gimignano Blanco 2018;3,8;400 Voti;Italia·Vernaccia di San Gimignano·Panizzi·Vino bianco·Vernaccia di San Gimignano;€9,90;[('Leggero-Strutturato', '43.9714%'), ('Secco-Dolce', '18.418%'), ('Piatto-Acidulo', '66.2523%')];Pasta / Vegetariano / Antipasti e spuntini;[('albero da frutta', 109), ('agrume', 76), ('Erbaceo', 67)]
Candidaterra;Pandataria 2018;3,8;58 Voti;Italia·Lazio·Candidaterra·Vino bianco·Falanghina;€27,90;[('Leggero-Strutturato', '50.3706%'), ('Secco-Dolce', '22.4478%'), ('Piatto-Acidulo', '42.7289%')];Pasta / Vegetariano / Antipasti e spuntini;[('Erbaceo', 4), ('nota tropicale', 1)]
Vie di Romans;Ciampagnis Chardonnay 2018;4,1;368 Voti;Italia·Friuli Isonzo·Vie di Romans·Vino bianco·Chardonnay;€25,80;[('Leggero-Strutturato', '62.6386%'), ('Secco-Dolce', '25.1236%'), ('Piatto-Acidulo', '51.0969%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('legno', 89), ('albero da frutta', 72), ('agrume', 59)]
Conti Thun;Contessa Lene Sauvignon Blanc 2019;4,2;27 Voti;Italia·Südtirol - Alto Adige·Conti Thun·Vino bianco·Sauvignon Blanc;€25,49;[('Leggero-Strutturato', '64.2319%'), ('Secco-Dolce', '16.7585%'), ('Piatto-Acidulo', '54.9798%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[]
Vie di Romans;Dessimis Pinot Grigio 2008;4,1;179 Voti;Italia·Friuli Isonzo·Vie di Romans·Vino bianco·Pinot Grigio;€38;[('Leggero-Strutturato', '47.5969%'), ('Secco-Dolce', '17.7489%'), ('Piatto-Acidulo', '39.1353%')];Frutti di mare / Vegetariano / Funghi;[('albero da frutta', 267), ('agrume', 211), ('legno', 174)]
Castello di Ama;Al Poggio Chardonnay di Toscana 2020;3,8;51 Voti;Italia·Toscana·Castello di Ama·Vino bianco·Chardonnay;€16,50;[('Leggero-Strutturato', '44.2521%'), ('Secco-Dolce', '22.8106%'), ('Piatto-Acidulo', '64.2036%')];Pasta / Vegetariano / Antipasti e spuntini;[('albero da frutta', 85), ('legno', 71), ('agrume', 51)]
Elena Walch;Beyond the Clouds 2019;4,5;378 Voti;Italia·Südtirol - Alto Adige·Elena Walch·Vino bianco·Chardonnay;€50;[('Leggero-Strutturato', '64.8376%'), ('Secco-Dolce', '25.8293%'), ('Piatto-Acidulo', '47.7675%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('legno', 162), ('albero da frutta', 154), ('nota tropicale', 106)]
Antinori;Castello della Sala Cervaro della Sala 2020;4,4;97 Voti;Italia·Umbria·Antinori·Vino bianco·Miscela;€47,90;[('Leggero-Strutturato', '49.591%'), ('Secco-Dolce', '26.5966%'), ('Piatto-Acidulo', '63.8714%')];Pasta / Vegetariano / Antipasti e spuntini;[('legno', 1926), ('albero da frutta', 1018), ('Erbaceo', 785)]
Zidarich;Prulke 2018;4,3;54 Voti;Italia·Friuli-Venezia Giulia·Zidarich·Vino bianco·Miscela;€33,30;[('Leggero-Strutturato', '63.558%'), ('Secco-Dolce', '21.446%'), ('Piatto-Acidulo', '51.8373%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('agrume', 41), ('Erbaceo', 31), ('albero da frutta', 18)]
Ceraudo;Grisara Bianco 2020;3,8;37 Voti;Italia·Val di Neto·Ceraudo·Vino bianco·Pecorino;€14,48;[('Leggero-Strutturato', '67.1768%'), ('Secco-Dolce', '2.05213%'), ('Piatto-Acidulo', '37.0775%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('agrume', 8), ('albero da frutta', 7), ('Erbaceo', 4)]
Casale del Giglio;Satrico Lazio Bianco 2020;3,8;569 Voti;Italia·Lazio·Casale del Giglio·Vino bianco·Miscela;€7,90;[('Leggero-Strutturato', '45.485%'), ('Secco-Dolce', '23.4353%'), ('Piatto-Acidulo', '64.1449%')];Pasta / Vegetariano / Antipasti e spuntini;[('albero da frutta', 86), ('agrume', 66), ('Erbaceo', 43)]
Pfitscher;Gewürztraminer Stoass 2019;4,0;99 Voti;Italia·Südtirol - Alto Adige·Pfitscher·Vino bianco·Gewürztraminer;€15;[('Leggero-Strutturato', '61.8874%'), ('Secco-Dolce', '34.3567%'), ('Piatto-Acidulo', '25.8787%')];Maiale / Pesce grasso (salmone, tonno, ecc.) / Cibi speziati;[('nota tropicale', 7), ('Erbaceo', 4), ('agrume', 2)]
Bollini;Pinot Grigio 2020;3,9;70 Voti;Italia·Vigneti delle Dolomiti·Bollini·Vino bianco·Pinot Grigio;€10,50;[('Leggero-Strutturato', '41.8454%'), ('Secco-Dolce', '10.2281%'), ('Piatto-Acidulo', '43.23%')];Frutti di mare / Vegetariano / Funghi;[('albero da frutta', 229), ('agrume', 121), ('Erbaceo', 92)]
Morgante;Bianco di Morgante 2019;3,8;36 Voti;Italia·Sicilia·Morgante·Vino bianco·Nero d'Avola;€9,35;[('Leggero-Strutturato', '62.9616%'), ('Secco-Dolce', '3.49208%'), ('Piatto-Acidulo', '35.3828%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('agrume', 78), ('albero da frutta', 63), ('Erbaceo', 52)]
Tramin;Pinot Bianco Moriz 2019;3,9;222 Voti;Italia·Südtirol - Alto Adige·Tramin·Vino bianco·Weissburgunder;€15,10;[('Leggero-Strutturato', '40.7121%'), ('Secco-Dolce', '3.83833%'), ('Piatto-Acidulo', '60.907%')];Pesce grasso (salmone, tonno, ecc.) / Frutti di mare / Formaggio dolce e a pasta molle;[('albero da frutta', 72), ('Erbaceo', 45), ('agrume', 33)]
