company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;legg_strutt;secco_dolce;piatto_acid;notes
Vie di Romans;Dolée;4.2;31;36.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Friuli Isonzo;Friulano;2008;64.4267;26.4338;51.6989;albero da frutta/agrume/legno
Serafini & Vidotto;Phigaia El Blanco;3.8;28;15.9;na / na / na;Italia;delle Venezie;Miscela;2018;;;;
Vie di Romans;Ciampagnis Chardonnay;4.1;38;21.15;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Friuli Isonzo;Chardonnay;2020;62.6386;25.1236;51.0969;legno/albero da frutta/agrume
Fattoria Sardi;Vermentino;3.9;46;12.0;Pasta / Vegetariano / Antipasti e spuntini;Italia;Colline Lucchesi;Vermentino;2019;39.3159;24.748;66.3812;albero da frutta/agrume/Erbaceo
Panizzi;Vernaccia di San Gimignano Blanco;3.8;400;9.9;Pasta / Vegetariano / Antipasti e spuntini;Italia;Vernaccia di San Gimignano;Vernaccia di San Gimignano;2018;43.9714;18.418;66.2523;albero da frutta/agrume/Erbaceo
Candidaterra;Pandataria;3.8;58;27.9;Pasta / Vegetariano / Antipasti e spuntini;Italia;Lazio;Falanghina;2018;50.3706;22.4478;42.7289;Erbaceo/nota tropicale
Vie di Romans;Ciampagnis Chardonnay;4.1;368;25.8;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Friuli Isonzo;Chardonnay;2018;62.6386;25.1236;51.0969;legno/albero da frutta/agrume
Conti Thun;Contessa Lene Sauvignon Blanc;4.2;27;25.49;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Sauvignon Blanc;2019;64.2319;16.7585;54.9798;
Vie di Romans;Dessimis Pinot Grigio;4.1;179;38.0;Frutti di mare / Vegetariano / Funghi;Italia;Friuli Isonzo;Pinot Grigio;2008;47.5969;17.7489;39.1353;albero da frutta/agrume/legno
Castello di Ama;Al Poggio Chardonnay di Toscana;3.8;51;16.5;Pasta / Vegetariano / Antipasti e spuntini;Italia;Toscana;Chardonnay;2020;44.2521;22.8106;64.2036;albero da frutta/legno/agrume
Elena Walch;Beyond the Clouds;4.5;378;50.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Chardonnay;2019;64.8376;25.8293;47.7675;legno/albero da frutta/nota tropicale
Antinori;Castello della Sala Cervaro della Sala;4.4;97;47.9;Pasta / Vegetariano / Antipasti e spuntini;Italia;Umbria;Miscela;2020;49.591;26.5966;63.8714;legno/albero da frutta/Erbaceo
Zidarich;Prulke;4.3;54;33.3;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Friuli-Venezia Giulia;Miscela;2018;63.558;21.446;51.8373;agrume/Erbaceo/albero da frutta
Ceraudo;Grisara Bianco;3.8;37;14.48;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Val di Neto;Pecorino;2020;67.1768;2.05213;37.0775;agrume/albero da frutta/Erbaceo
Casale del Giglio;Satrico Lazio Bianco;3.8;569;7.9;Pasta / Vegetariano / Antipasti e spuntini;Italia;Lazio;Miscela;2020;45.485;23.4353;64.1449;albero da frutta/agrume/Erbaceo
Pfitscher;Gewürztraminer Stoass;4.0;99;15.0;Maiale / Pesce grasso (salmone, tonno, ecc.) / Cibi speziati;Italia;Südtirol - Alto Adige;Gewürztraminer;2019;61.8874;34.3567;25.8787;nota tropicale/Erbaceo/agrume
Bollini;Pinot Grigio;3.9;70;10.5;Frutti di mare / Vegetariano / Funghi;Italia;Vigneti delle Dolomiti;Pinot Grigio;2020;41.8454;10.2281;43.23;albero da frutta/agrume/Erbaceo
